ID;ESTADO;NOME;DESCRICAO
1;2;Smartphone X;Última geração com câmera de 108MP
2;2;Notebook Gamer;Processador i9, 32GB RAM, RTX 4080
3;2;Monitor 27";4K UHD, HDR10, 144Hz
4;2;Teclado Mecânico;Switches Red, RGB personalizável
5;2;Mouse Gamer;DPI ajustável até 16.000
6;1;Headset Wireless;Cancelamento de ruído ativo
7;2;Smartwatch;Monitoramento cardíaco e GPS
8;2;Tablet Pro;Tela 12.9", processador M1
9;2;Impressora Laser;Monocromática, conexão Wi-Fi
10;1;Cadeira Gamer;Ajustável com apoio para pés
11;1;Console de Videogame;Nova geração, 1TB SSD
12;1;HD Externo 2TB;Portátil USB 3.0
13;1;Fone Bluetooth;Resistência à água IPX7
14;1;Projetor 4K;3000 lumens, compatível com HDR
15;1;Câmera DSLR;Sensor Full Frame, 24MP
16;1;Placa de Vídeo;RTX 4070 Ti, 12GB GDDR6X
17;1;Processador;AMD Ryzen 9 7950X
18;1;Memória RAM 16GB;DDR5, 6000MHz
19;1;SSD NVMe 1TB;Velocidade de leitura 7000MB/s
20;1;Fonte 750W;Certificação 80 Plus Gold
21;1;Placa-Mãe;Chipset Z790, compatível DDR5
22;1;Cooler para CPU;Watercooler 360mm RGB
23;1;Gabinete Mid Tower;Vidro temperado, RGB
24;1;Controle Sem Fio;Compatível com PC e Consoles
25;1;Roteador Wi-Fi 6;Suporte a Mesh e 2.4/5GHz
26;1;Smart TV 55";OLED, 120Hz, Dolby Vision
27;1;Soundbar;Sistema 5.1, Dolby Atmos
28;1;Caixa de Som Bluetooth;Autonomia de 24h
29;2;Microfone Condensador;Ideal para streaming
30;2;Webcam 4K;Suporte HDR e 60FPS
